"transformation_type","input_items","output_items","metadata"
"brewing","[""Breeze Rod""]","[""Potion""]","{}"
"brewing","[""Turtle Shell""]","[""Potion""]","{}"
"composting","[""Cactus""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Dried Kelp Block""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Flowering Azalea Leaves""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Glow Lichen""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Melon Slice""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Nether Sprouts""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Sugar Cane""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Tall Grass""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Twisting Vines""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Vines""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Weeping Vines""]","[""Bone Meal""]","{""success_rate"": 0.5}"
"composting","[""Apple""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Azalea""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Beetroot""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Big Dripleaf""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Carrot""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Cocoa Beans""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Fern""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Flowers""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Large Fern""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Lily Pad""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Melon""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Moss Block""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Mushrooms""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Mushroom Stem""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Nether Fungi""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Nether Wart""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Pale Moss Block""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Potato""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Pumpkin""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Crimson Roots""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Warped Roots""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Sea Pickle""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Shroomlight""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Spore Blossom""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Wheat""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Wither Rose""]","[""Bone Meal""]","{""success_rate"": 0.65}"
"composting","[""Baked Potato""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Bread""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Cookie""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Flowering Azalea""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Hay Bale""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Mushroom Block""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Nether Wart Block""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Pitcher Plant""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Torchflower""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Warped Wart Block""]","[""Bone Meal""]","{""success_rate"": 0.85}"
"composting","[""Cake""]","[""Bone Meal""]","{""success_rate"": 1.0}"
"composting","[""Pumpkin Pie""]","[""Bone Meal""]","{""success_rate"": 1.0}"
"crafting","[""Gold Ingot""]","[""Block of Gold""]","{""category"": ""building_blocks""}"
"crafting","[""Iron Ingot""]","[""Block of Iron""]","{""category"": ""building_blocks""}"
"crafting","[""Brick""]","[""Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Diamond""]","[""Block of Diamond""]","{""category"": ""building_blocks""}"
"crafting","[""Stone""]","[""Stone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Planks"", ""Book""]","[""Bookshelf""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Snowball""]","[""Snow Block""]","{""category"": ""building_blocks""}"
"crafting","[""Clay Ball""]","[""Clay""]","{""category"": ""building_blocks""}"
"crafting","[""Cobblestone"", ""Vines""]","[""Mossy Cobblestone""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Cobblestone"", ""Moss Block""]","[""Mossy Cobblestone""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Carved Pumpkin"", ""Torch""]","[""Jack o'Lantern""]","{""category"": ""building_blocks""}"
"crafting","[""Glowstone Dust""]","[""Glowstone""]","{""category"": ""building_blocks""}"
"crafting","[""String""]","[""Wool""]","{""category"": ""building_blocks""}"
"crafting","[""Dye"", ""Wool""]","[""Wool""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Sand""]","[""Sandstone""]","{""category"": ""building_blocks""}"
"crafting","[""Lapis Lazuli""]","[""Block of Lapis Lazuli""]","{""category"": ""building_blocks""}"
"crafting","[""Planks""]","[""Wooden Slab""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Planks""]","[""Wooden Stairs""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Sandstone""]","[""Sandstone Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Sandstone Variants""]","[""Sandstone Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Cobblestone""]","[""Cobblestone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Stone""]","[""Stone Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Melon Slice""]","[""Melon""]","{""category"": ""building_blocks""}"
"crafting","[""Bricks""]","[""Brick Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Stone Bricks""]","[""Stone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Nether Brick""]","[""Nether Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Nether Bricks""]","[""Nether Bricks Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Sandstone Variants""]","[""Sandstone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Emerald""]","[""Block of Emerald""]","{""category"": ""building_blocks""}"
"crafting","[""Log""]","[""Planks""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Stripped Log""]","[""Planks""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Wood""]","[""Planks""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Stripped Wood""]","[""Planks""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Block of Bamboo""]","[""Planks""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Block of Stripped Bamboo""]","[""Planks""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Nether Quartz""]","[""Block of Quartz""]","{""category"": ""building_blocks""}"
"crafting","[""Block of Quartz""]","[""Quarz Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Block of Quartz""]","[""Quarz Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Quarz Variants""]","[""Quarz Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Quarz Variants""]","[""Quarz Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Wheat""]","[""Hay Bale""]","{""category"": ""building_blocks""}"
"crafting","[""Coal""]","[""Block of Coal""]","{""category"": ""building_blocks""}"
"crafting","[""Dye"", ""Terracotta""]","[""Terracotta""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Ice""]","[""Packed Ice""]","{""category"": ""building_blocks""}"
"crafting","[""Glass"", ""Dye""]","[""Stained Glass""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Diorite"", ""Nether Quartz""]","[""Granite""]","{""category"": ""building_blocks""}"
"crafting","[""Cobblestone"", ""Nether Quartz""]","[""Diorite""]","{""category"": ""building_blocks""}"
"crafting","[""Cobblestone"", ""Diorite""]","[""Andesite""]","{""category"": ""building_blocks""}"
"crafting","[""Diorite""]","[""Diorite Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Granite""]","[""Granite Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Andesite""]","[""Andesite Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Stone Variants""]","[""Chiseled Stone Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Vines"", ""Stone Bricks""]","[""Mossy Stone Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Moss Block"", ""Stone Bricks""]","[""Mossy Stone Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Prismarine Shard""]","[""Prismarine""]","{""category"": ""building_blocks""}"
"crafting","[""Prismarine Shard"", ""Prismarine Crystals""]","[""Sea Lantern""]","{""category"": ""building_blocks""}"
"crafting","[""Dirt"", ""Gravel""]","[""Coarse Dirt""]","{""category"": ""building_blocks""}"
"crafting","[""Prismarine Shard""]","[""Prismarine Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Prismarine Shard"", ""Dye""]","[""Dark Prismarine""]","{""category"": ""building_blocks""}"
"crafting","[""Red Sand""]","[""Red Sandstone""]","{""category"": ""building_blocks""}"
"crafting","[""Red Sandstone Variants""]","[""Red Sandstone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Red Sandstone""]","[""Red Sandstone Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Red Sandstone Variants""]","[""Red Sandstone Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""End Stone""]","[""End Stone Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Popped Chorus Fruit""]","[""Purpur Block""]","{""category"": ""building_blocks""}"
"crafting","[""Purpur Variants""]","[""Purpur Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Purpur Block""]","[""Purpur Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Purpur Variants""]","[""Purpur Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Magma Cream""]","[""Magma Block""]","{""category"": ""building_blocks""}"
"crafting","[""Bone Meal""]","[""Bone Block""]","{""category"": ""building_blocks""}"
"crafting","[""Nether Wart""]","[""Nether Wart Block""]","{""category"": ""building_blocks""}"
"crafting","[""Dye"", ""Sand"", ""Gravel""]","[""Concrete Powder""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Log""]","[""Wood""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Sandstone""]","[""Sandstone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Red Sandstone""]","[""Red Sandstone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Nether Brick"", ""Nether Wart""]","[""Red Nether Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Dried Kelp""]","[""Dried Kelp Block""]","{""category"": ""building_blocks""}"
"crafting","[""Prismarine""]","[""Prismarine Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Prismarine Bricks""]","[""Prismarine Brick Stairs""]","{""category"": ""building_blocks""}"
"crafting","[""Dark Prismarine""]","[""Dark Prismarine Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Prismarine Bricks""]","[""Prismarine Brick Slab""]","{""category"": ""building_blocks""}"
"crafting","[""Packed Ice""]","[""Blue Ice""]","{""category"": ""building_blocks""}"
"crafting","[""Stripped Log""]","[""Stripped Wood""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""String"", ""Bamboo""]","[""Scaffolding""]","{""category"": ""building_blocks""}"
"crafting","[""Andesite Variants""]","[""Andesite Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Diorite Variants""]","[""Diorite Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Granite Variants""]","[""Granite Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Smooth Sandstone""]","[""Smooth Sandstone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Smooth Red Sandstone""]","[""Smooth Red Sandstone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Smooth Quartz Block""]","[""Smooth Quartz Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Red Nether Bricks""]","[""Red Nether Bricks Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Mossy Stone Bricks""]","[""Mossy Stone Brick Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Mossy Cobblestone""]","[""Mossy Cobblestone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""End Stone Bricks""]","[""End Stone Brick Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Smooth Stone""]","[""Smooth Stone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Red Sandstone Variants""]","[""Cut Red Sandstone Slab""]","{""category"": ""building_blocks""}"
"crafting","[""Sandstone Variants""]","[""Cut Sandstone Slab""]","{""category"": ""building_blocks""}"
"crafting","[""Netherite Ingot""]","[""Block of Netherite""]","{""category"": ""building_blocks""}"
"crafting","[""Basalt""]","[""Polished Basalt""]","{""category"": ""building_blocks""}"
"crafting","[""Blackstone""]","[""Blackstone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Blackstone Variants""]","[""Blackstone Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Nether Bricks Variants""]","[""Nether Bricks Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Copper Ingot""]","[""Block of Copper""]","{""category"": ""building_blocks""}"
"crafting","[""Honeycomb"", ""Block of Copper""]","[""Block of Copper""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Amethyst Shard""]","[""Block of Amethyst""]","{""category"": ""building_blocks""}"
"crafting","[""Block of Copper""]","[""Copper Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Honeycomb"", ""Copper Variants""]","[""Copper Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Glass"", ""Amethyst Shard""]","[""Tinted Glass""]","{""category"": ""building_blocks""}"
"crafting","[""Copper Variants""]","[""Copper Variants""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Pointed Dripstone""]","[""Dripstone Block""]","{""category"": ""building_blocks""}"
"crafting","[""Cobbled Deepslate""]","[""Cobbled Deepslate Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Cobbled Deepslate Variants""]","[""Cobbled Deepslate Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Raw Gold""]","[""Block of Raw Gold""]","{""category"": ""building_blocks""}"
"crafting","[""Raw Copper""]","[""Block of Raw Copper""]","{""category"": ""building_blocks""}"
"crafting","[""Raw Iron""]","[""Block of Raw Iron""]","{""category"": ""building_blocks""}"
"crafting","[""Packed Mud""]","[""Mud Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Mud Bricks""]","[""Mud Brick Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Planks"", ""Wooden Slab""]","[""Chiseled Bookshelf""]","{""has_alternatives"": true, ""category"": ""building_blocks""}"
"crafting","[""Wooden Slab""]","[""Bamboo Mosaic""]","{""category"": ""building_blocks""}"
"crafting","[""Bamboo Mosaic""]","[""Bamboo Mosaic Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Bamboo""]","[""Block of Bamboo""]","{""category"": ""building_blocks""}"
"crafting","[""Tuff Variants""]","[""Tuff Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Tuff""]","[""Tuff Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Resin Clump""]","[""Block of Resin""]","{""category"": ""building_blocks""}"
"crafting","[""Resin Brick""]","[""Resin Bricks""]","{""category"": ""building_blocks""}"
"crafting","[""Resin Brick Variants""]","[""Resin Brick Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Resin Bricks""]","[""Resin Brick Variants""]","{""category"": ""building_blocks""}"
"crafting","[""Stick"", ""Coal""]","[""Torch""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Charcoal"", ""Stick""]","[""Torch""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Planks""]","[""Chest""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Wool"", ""Stick""]","[""Painting""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Planks""]","[""Crafting Table""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Stick""]","[""Ladder""]","{""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""Stick""]","[""Sign""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Snow Block""]","[""Snow""]","{""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""Diamond""]","[""Jukebox""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""Stick""]","[""Fence""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Iron Ingot""]","[""Iron Bars""]","{""category"": ""decoration_blocks""}"
"crafting","[""Glass""]","[""Glass Pane""]","{""category"": ""decoration_blocks""}"
"crafting","[""Nether Brick"", ""Nether Bricks""]","[""Nether Brick Fence""]","{""category"": ""decoration_blocks""}"
"crafting","[""Obsidian"", ""Diamond"", ""Book""]","[""Enchanting Table""]","{""category"": ""decoration_blocks""}"
"crafting","[""Glass"", ""Eye of Ender"", ""Ghast Tear""]","[""End Crystal""]","{""category"": ""decoration_blocks""}"
"crafting","[""Eye of Ender"", ""Obsidian""]","[""Ender Chest""]","{""category"": ""decoration_blocks""}"
"crafting","[""Stick"", ""Leather""]","[""Item Frame""]","{""category"": ""decoration_blocks""}"
"crafting","[""Brick""]","[""Flower Pot""]","{""category"": ""decoration_blocks""}"
"crafting","[""Mossy Cobblestone""]","[""Mossy Cobblestone Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Cobblestone""]","[""Furnace""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Blackstone""]","[""Furnace""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Cobbled Deepslate""]","[""Furnace""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""Wool""]","[""Bed""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Bed"", ""Dye""]","[""Bed""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Stone"", ""Iron Ingot""]","[""Stonecutter""]","{""category"": ""decoration_blocks""}"
"crafting","[""Wool""]","[""Carpet""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Dye"", ""Carpet""]","[""Carpet""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Block of Iron"", ""Iron Ingot""]","[""Anvil""]","{""category"": ""decoration_blocks""}"
"crafting","[""Stained Glass""]","[""Stained Glass Pane""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Glass Pane"", ""Dye""]","[""Stained Glass Pane""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Wool"", ""Stick""]","[""Banner""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Smooth Stone Variants"", ""Stick""]","[""Armor Stand""]","{""category"": ""decoration_blocks""}"
"crafting","[""Blaze Rod"", ""Popped Chorus Fruit""]","[""End Rod""]","{""category"": ""decoration_blocks""}"
"crafting","[""Shulker Shell"", ""Chest""]","[""Shulker Box""]","{""category"": ""decoration_blocks""}"
"crafting","[""Dye"", ""Shulker Box""]","[""Shulker Box""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Stick"", ""Coal""]","[""Campfire""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Charcoal"", ""Stick""]","[""Campfire""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""String""]","[""Loom""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Andesite""]","[""Andesite Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Bricks""]","[""Brick Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Diorite""]","[""Diorite Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""End Stone Bricks""]","[""End Stone Brick Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Granite""]","[""Granite Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Mossy Stone Bricks""]","[""Mossy Stone Brick Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Nether Bricks""]","[""Nether Bricks Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Prismarine""]","[""Prismarine Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Red Nether Bricks""]","[""Red Nether Bricks Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Red Sandstone""]","[""Red Sandstone Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Sandstone""]","[""Sandstone Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Stone Bricks""]","[""Stone Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""Wooden Slab""]","[""Barrel""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Log"", ""Furnace""]","[""Smoker""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Stripped Log"", ""Furnace""]","[""Smoker""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Wood"", ""Furnace""]","[""Smoker""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Stripped Wood"", ""Furnace""]","[""Smoker""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Furnace"", ""Smooth Stone"", ""Iron Ingot""]","[""Blast Furnace""]","{""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""Paper""]","[""Cartography Table""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""Flint""]","[""Fletching Table""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Stone Variants"", ""Planks"", ""Stick""]","[""Grindstone""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Planks"", ""Iron Ingot""]","[""Smithing Table""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Cobblestone""]","[""Cobblestone Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Iron Nugget"", ""Torch""]","[""Lantern""]","{""category"": ""decoration_blocks""}"
"crafting","[""Wooden Slab""]","[""Composter""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Honeycomb"", ""Planks""]","[""Beehive""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Honeycomb""]","[""Honeycomb Block""]","{""category"": ""decoration_blocks""}"
"crafting","[""Crying Obsidian"", ""Glowstone""]","[""Respawn Anchor""]","{""category"": ""decoration_blocks""}"
"crafting","[""Chiseled Stone Bricks"", ""Iron Ingot""]","[""Lodestone""]","{""category"": ""decoration_blocks""}"
"crafting","[""Blackstone""]","[""Blackstone Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Blackstone Variants""]","[""Blackstone Variants""]","{""category"": ""decoration_blocks""}"
"crafting","[""Soul Sand"", ""Stick""]","[""Soul Campfire""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Soul Soil"", ""Stick""]","[""Soul Campfire""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Iron Nugget"", ""Iron Ingot""]","[""Iron Chain""]","{""category"": ""decoration_blocks""}"
"crafting","[""Soul Soil"", ""Stick"", ""Coal""]","[""Soul Torch""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Charcoal"", ""Soul Sand"", ""Stick""]","[""Soul Torch""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Iron Nugget"", ""Soul Torch""]","[""Soul Lantern""]","{""category"": ""decoration_blocks""}"
"crafting","[""Honeycomb"", ""String""]","[""Candle""]","{""category"": ""decoration_blocks""}"
"crafting","[""Dye"", ""Candle""]","[""Candle""]","{""has_alternatives"": true, ""category"": ""decoration_blocks""}"
"crafting","[""Glow Ink Sac"", ""Item Frame""]","[""Glow Item Frame""]","{""category"": ""decoration_blocks""}"
"crafting","[""Moss Block""]","[""Moss Carpet""]","{""category"": ""decoration_blocks""}"
"crafting","[""Cobbled Deepslate Variants""]","[""Cobbled Deepslate Variants""]","{""category"": ""decoration_blocks""}"
